Código CCN,Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Número de camas instaladas,Tipo de Centro,Dependencia Funcional,Observaciones,Concierto,Acreditación Docente
0845000810,450067,Hospital General Nuestra Señora del Prado,Castilla-La Mancha,Toledo,Talavera de la Reina,Carretera Madrid KM 114,45600,925803600,312,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0845000812,450036,Hospital Nacional de Parapléjicos,Castilla-La Mancha,Toledo,Toledo,Calle Finca de La Peraleda S/N,45071,925247700,210,Hospitales especializados,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto,SI
0845002598,450144,Hospital Universitario de Toledo (Hut),Castilla-La Mancha,Toledo,Toledo,Avenida Rio Guadiana S/N,45007,925269200,861,Hospitales Generales,Servicios e Institutos de Salud de Las Comunidades Autónomas,,Sin concierto.,NO
0908005135,080673,Hospital Municipal de Badalona,Cataluña,Barcelona,Badalona,Vía Augusta 9,08911,934648300,140,Hospitales Generales,Municipio,,Red de utilización pública (RUP),NO
0908005136,080351,Hestia Palau.,Cataluña,Barcelona,Barcelona,"Calle Sant Antoni Maria Claret , 135",08025,934501819,391,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0908005137,080364,Hospital Universitari Sagrat Cor,Cataluña,Barcelona,Barcelona,Calle Viladomat 288,08029,933221111,367,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0908005138,080370,Clínica Corachan,Cataluña,Barcelona,Barcelona,Calle Buigas 19,08017,932545800,162,Hospitales Generales,Privados,,Sin concierto,NO
0908005139,080386,Clínica Tres Torres,Cataluña,Barcelona,Barcelona,Calle Doctor Roux 76,08017,932041300,64,Hospitales Generales,Privados,,Sin concierto,NO
0908005140,080291,Hospital de La Santa Creu I Sant Pau,Cataluña,Barcelona,Barcelona,Calle Sant Quinti 89,08041,935537160,644,Hospitales Generales,Privados,,Red de utilización pública (RUP),SI
0908005141,080543,Hestia Duran I Reynals,Cataluña,Barcelona,"Hospitalet de Llobregat, L'",Avenida Gran Vía 203,08908,934170400,428,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
