nombre,localidad,provincia,longitud,latitud
Guadalema de los Quinteros,Guadalema de los Quintero,Sevilla,-5.832757044465407,37.05642996152319
Los Romeros,Los Romeros,Huelva,-6.7503468794696255,37.89376002060563
Trebujena,Trebujena,Cádiz,-6.1743732348265725,36.86786746608059
Cortijos Marín,Cortijos de Marín,Almería,-2.647907486903828,36.757568165702416
Guadiaro,Guadiaro,Cádiz,-5.304203211000018,36.29880970444952
Pinos Puente,Pinos Puente,Granada,-3.74938639714648,37.24989691134669
Linares de la Sierra,Linares de la Sierra,Huelva,-6.622277125019755,37.88008617799691
Chiclana de Segura,Chiclana de Segura,Jaén,-3.0424249517047937,38.3120879604696
Juviles,Juviles,Granada,-3.2255793673221476,36.94818989566629
La Palma del Condado,La Palma del Condado,Huelva,-6.550581083282985,37.390251730853784
Arroyo de la Miel-Benalmádena,Arroyo de la Miel-Benalmadena Costa,Málaga,-4.536304126748928,36.599559385339994
Almería Centro,Almería,Almería,-2.4610143419616954,36.84076067210088
El Borge,El Borge,Málaga,-4.235381795130571,36.81544554713386
Torres de Albánchez,Torres de Albánchez,Jaén,-2.6803091371188428,38.41457786114125
Ronda-Sur Santa Bárbara,Ronda,Málaga,-5.1599444612458605,36.74348754543588
Pilas,Pilas,Sevilla,-6.305438666607838,37.302964138424706
Iznájar,Iznájar,Córdoba,-4.308883354200904,37.25672162937923
Valsequillo,Valsequillo,Córdoba,-5.35202420802113,38.40432978183044
Castilleja del Campo,Castilleja del Campo,Sevilla,-6.336594257836154,37.38818867633475
El Patrás,Patrás,Huelva,-6.70362291326679,37.80247994893785
Júzcar,Júzcar,Málaga,-5.170790620341736,36.62511191134618
Fuensanta,Córdoba,Córdoba,-4.758877737216769,37.88509463378356
Matagorda-Guardias Viejas,Matagorda,Almería,-2.8388128977415144,36.72292654590213
Sotogordo,Sotogordo,Jaén,-3.598106604106811,37.95226727963014
Santa Ana (Dos Hermanas C),Dos Hermanas,Sevilla,-5.923229757902267,37.28231721710361
Villargordo,Villargordo,Jaén,-3.727235276018518,37.94079735622269
Algarinejo,Algarinejo,Granada,-4.15576451100513,37.32617033314234
La Laguna,Cádiz,Cádiz,-6.274327505581415,36.505042114006955
Huélago,Huélago,Granada,-3.262184049658704,37.42012283077991
Zújar,Zújar,Granada,-2.841813873458224,37.54179399873257
Benahavís,Benahavís,Málaga,-5.045726663683052,36.52266899820756
Vélez-Málaga Norte,Vélez-Málaga,Málaga,-4.106114209241197,36.78382274870902
Charches,Charches,Granada,-2.9540956567284296,37.29409696979033
Montalbán de Córdoba (Dª Natividad Cabrera Sillero),Montalbán de Córdoba,Córdoba,-4.749836660985223,37.5800584144681
Líjar,Líjar,Almería,-2.2168448250149035,37.29479441868909
Los Rosales,Los Rosales,Sevilla,-5.732523794870066,37.59001351184205
Lucainena de las Torres,Lucainena de las Torres,Almería,-2.201325853525787,37.041609046562606
Federico Castillo,Jaén,Jaén,-3.798950466024837,37.77694503977505
Calicasas,Calicasas,Granada,-3.6184417529218975,37.27335829314733
Albuñol,Albuñol,Granada,-3.208277675509983,36.79208165294387
Busquístar,Busquístar,Granada,-3.2936069178798575,36.93760251712296
Huércal-Overa,Huércal-Overa,Almería,-1.9430184670817265,37.3901271262829
Villanueva del Rey,Villanueva del Rey,Córdoba,-5.1525128764754795,38.19896983459939
Chauchina,Chauchina,Granada,-3.772275145430932,37.201369207941774
Los Pánchez,Los Pánchez,Córdoba,-5.329256122108624,38.19125708618971
Órgiva D. Baldomero Villanueva,Órgiva,Granada,-3.421976390136594,36.90415517982129
Morón San Francisco,Morón de la Frontera,Sevilla,-5.455587346464531,37.11770273258657
Notáez,Notáez,Granada,-3.276919513117458,36.91536747945518
La Cañada del Real Tesoro,Cañada del Real Tesoro,Málaga,-5.332194198425875,36.598086615728235
Lora del Rio Virgen de Setefilla,Lora del Río,Sevilla,-5.52281034399001,37.65384404996691
Marchena,Marchena,Jaén,-2.4978139538562916,38.188870502696105
Limonar,Málaga,Málaga,-4.399166353475191,36.72750212188837
Los Villares,Los Villares,Jaén,-3.818173922728167,37.69043496405658
Los Palacios Ntra. Sra. de las Nieves,Los Palacios y Villafranca,Sevilla,-5.927210695509977,37.155832089467054
La Luisiana,La Luisiana,Sevilla,-5.245961768408091,37.52684141342619
El Villar,El Villar,Córdoba,-5.060118630704271,37.63623868152781
Jun,Jun,Granada,-3.594484490388341,37.22157411396656
La Juliana,Algeciras,Cádiz,-5.448656300875527,36.11320170696021
Escúzar,Escúzar,Granada,-3.761352101310317,37.06173861214106
Alboloduy,Alboloduy,Almería,-2.6207044947600573,37.032983350657695
Cerro del Hierro,Cerro del Hierro,Sevilla,-5.621713905834701,37.958488585719124
Alcudia de Monteagud,Alcudia de Monteagud,Almería,-2.266142490529359,37.23507860071606
Guillena Dr. Correa Charro,Guillena,Sevilla,-6.0552155464136765,37.54124778137715
Escúllar,Escúllar,Almería,-2.7342572922836554,37.17619932769334
Carchelejo,Carchelejo,Jaén,-3.6388798641466593,37.6367337820346
Hornos de Peal,Hornos,Jaén,-3.1879442213675357,37.886894025161226
Montealegre,Jerez de la Frontera,Cádiz,-6.112579022526911,36.67382152382152
La Mojonera,La Mojonera,Almería,-2.686772118684218,36.752277684070414
La Plata,Sevilla,Sevilla,-5.945581176183298,37.37263715098708
Huétor-Tájar,Huétor Tájar,Granada,-4.049995847074887,37.19566789917206
Villaviciosa de Córdoba,Villaviciosa de Córdoba,Córdoba,-5.012945322109035,38.07425493960385
Zufre,Zufre,Huelva,-6.340050917735839,37.833401718849174
Chite,Chite,Granada,-3.55517532264892,36.93954309952435
El Solanillo,El Solanillo,Almería,-2.656996765122198,36.734671630625286
Navas del Selpillar,Navas del Selpillar,Córdoba,-4.590554412536387,37.42067136055778
Rambla Honda,Cortijo las Palmeras,Almería,-2.071883292781891,37.24172487212133
Tomares,Tomares,Sevilla,-6.046515607957842,37.371908178459016
Nicolás Salmerón,Almería,Almería,-2.4680005255181157,36.837185753440096
Albaricoques,Albaricoques,Almería,-2.1216595206656184,36.85071182481731
Colomera,Colomera,Granada,-3.712749957531447,37.36890354089496
Cuesta de la Palma,La Palma,Granada,-4.277586523285153,37.13779237757029
Isla Canela (Abre en verano),Playa Isla de Canela,Huelva,-7.375951771577767,37.172812234765615
Guadalimar,Guadalimar,Jaén,-3.61202599989335,38.020681000486256
El Hijate,El Hijate,Almería,-2.5931449899042134,37.396147940141816
Los Llanos de Don Antonio,El Llano de Don Antonio,Almería,-1.9348303818109795,37.00122553101865
Bonares,Bonares,Huelva,-6.678490022168676,37.32641576979309
Espiel,Espiel,Córdoba,-5.0234110538588075,38.187189353040544
El Saucejo,El Saucejo,Sevilla,-5.1014308222035725,37.06663450643636
Herrera,Herrera,Sevilla,-4.847107628585649,37.36151507611148
Miraelrío,Miraelrío,Jaén,-3.5312511229807377,38.095493268301716
La Cañada,La Cañada de San Urbano,Almería,-2.4094700000732425,36.83960000135446
Nieles,Nieles,Granada,-3.2304200000864527,36.93340000098051
Casanueva,Casanueva,Granada,-3.787283101742119,37.254811171056744
Cajiz,Cajiz,Málaga,-4.185350194884661,36.75926426559931
Abrucena,Abrucena,Almería,-2.7935483098297826,37.13435020180911
Fuerte del Rey,Fuerte del Rey,Jaén,-3.882143724822853,37.87340599434053
Castilléjar,Castilléjar,Granada,-2.642734203211921,37.71373405399521
Cartaojal,Cartaojal,Málaga,-4.511759522918258,37.1098611622662
Fontanar,Fontanar,Jaén,-2.9720994368573526,37.6717216214493
Santa Olalla de Cala,Santa Olalla del Cala,Huelva,-6.22854639023767,37.90784870040841
Beas de Segura Virgen de la Paz,Beas de Segura,Jaén,-2.8907924184643883,38.25137091365983
Deifontes,Deifontes,Granada,-3.5942146306533345,37.3260561663209
Turre,Turre,Almería,-1.8933684668022273,37.15270122388092
Talará (Lecrín),Talará,Granada,-3.552481838239984,36.948384971827686
Cabo de Gata,Cabo de Gata,Almería,-2.2429120000122746,36.78171299986271
Mojácar Pueblo,Mojácar,Almería,-1.8527154217420607,37.13962640519824
Olivares,Olivares,Sevilla,-6.159873700261328,37.41519278661136
Cerro Muriano,Cerro Muriano,Córdoba,-4.768348246273793,37.999036406139204
Atochares,Atochares,Almería,-2.1588057655468744,36.87985892414149
Villanueva de Córdoba,Villanueva de Córdoba,Córdoba,-4.628204551555984,38.323603859366806
Alhama de Granada,Alhama de Granada,Granada,-3.9901888515301653,37.004586391896474
Villarrasa,Villarrasa,Huelva,-6.6037971710212195,37.38726032430687
Los Montecillos,Dos Hermanas,Sevilla,-5.917048682752411,37.275166136396
San Roque,San Roque,Cádiz,-5.382552520012496,36.21321990958703
Rinconcillo,Algeciras,Cádiz,-5.447848036640774,36.159323134215676
Encinas Reales,Encinas Reales,Córdoba,-4.487641013648999,37.273112370225654
Coria Virgen de la Estrella,Coria del Río,Sevilla,-6.049368078648896,37.284610961431895
Pino Montano B,Sevilla,Sevilla,-5.968744351097709,37.41949318556586
Almuñécar,Almuñécar,Granada,-3.684390942329818,36.73343394039811
